support,itemsets,n_items
0.1623931623931624,"cpu_family=i7, keyword=core, rating_bucket=low, storage_bucket=128gb",4
0.15384615384615385,"keyword=home, price_segment=midrange, ram_bucket=unknown, storage_bucket=128gb",4
0.15384615384615385,"brand=acer, keyword=core",2
0.15384615384615385,"cpu_family=i7, keyword=home",2
0.15384615384615385,"brand=acer, keyword=acer, keyword=core, ram_bucket=unknown, storage_bucket=128gb",5
0.15384615384615385,"keyword=core, keyword=home, price_segment=midrange",3
0.15384615384615385,"keyword=acer, keyword=core",2
0.15384615384615385,"keyword=aspire, storage_bucket=128gb",2
0.15384615384615385,"keyword=aspire, ram_bucket=unknown",2
0.15384615384615385,"keyword=aspire, ram_bucket=unknown, storage_bucket=128gb",3
0.15384615384615385,"keyword=acer, keyword=core, ram_bucket=unknown",3
0.15384615384615385,"cpu_family=i7, keyword=core, keyword=home, storage_bucket=128gb",4
0.15384615384615385,"cpu_family=i7, keyword=home, ram_bucket=unknown, storage_bucket=128gb",4
0.15384615384615385,"brand=acer, keyword=core, storage_bucket=128gb",3
0.15384615384615385,"cpu_family=i7, keyword=core, keyword=home",3
0.15384615384615385,"brand=acer, keyword=core, ram_bucket=unknown",3
0.15384615384615385,"keyword=acer, keyword=core, ram_bucket=unknown, storage_bucket=128gb",4
0.15384615384615385,keyword=aspire,1
0.15384615384615385,"brand=acer, keyword=acer, keyword=core, storage_bucket=128gb",4
0.15384615384615385,"brand=acer, keyword=core, ram_bucket=unknown, storage_bucket=128gb",4
0.15384615384615385,"brand=acer, keyword=acer, keyword=core, ram_bucket=unknown",4
0.15384615384615385,"cpu_family=i7, keyword=core, keyword=home, ram_bucket=unknown",4
0.15384615384615385,"keyword=core, keyword=home, price_segment=midrange, ram_bucket=unknown, storage_bucket=128gb",5
0.15384615384615385,"cpu_family=i7, keyword=core, keyword=home, ram_bucket=unknown, storage_bucket=128gb",5
0.15384615384615385,"keyword=home, price_segment=midrange",2
0.15384615384615385,"keyword=home, price_segment=midrange, ram_bucket=unknown",3
0.15384615384615385,"keyword=home, price_segment=midrange, storage_bucket=128gb",3
0.15384615384615385,"keyword=core, keyword=home, price_segment=midrange, storage_bucket=128gb",4
0.15384615384615385,"keyword=acer, keyword=core, storage_bucket=128gb",3
0.15384615384615385,"cpu_family=i7, keyword=home, ram_bucket=unknown",3
0.15384615384615385,"keyword=core, keyword=home, price_segment=midrange, ram_bucket=unknown",4
0.15384615384615385,"brand=acer, keyword=acer, keyword=core",3
0.15384615384615385,"cpu_family=i7, keyword=home, storage_bucket=128gb",3
0.1452991452991453,"cpu_family=i5, price_segment=premium, ram_bucket=unknown",3
0.1452991452991453,"cpu_family=i5, price_segment=premium, storage_bucket=128gb",3
